00:00:16 Activity:175345 		Log:Init 00:00:16
00:00:16 Activity:123456 		Log:Free for Duck
00:00:59 Activity:123456 		Log:Free for Duck 00:00:43
00:01:59 Activity:123456 		Log:Free for Duck 00:01:43
00:02:59 Activity:123456 		Log:Free for Duck 00:02:43
00:03:59 Activity:123456 		Log:Free for Duck 00:03:43
02/02/16/21/2021 00:00:59 Activity:175345 		Log:Init 00:00:59
02/02/16/21/2021 00:01:59 Activity:175345 		Log:Init 00:01:59
02/02/16/21/2021 00:02:59 Activity:175345 		Log:Init 00:02:59
02 02/16/21 2021 00:00:59 Activity:175345 		Log:Init 00:00:59
02 02/16/21 2021 00:01:59 Activity:175345 		Log:Init 00:01:59
02 02/16/21 2021 00:02:59 Activity:175345 		Log:Init 00:02:59
02/16/21 00:00:59 Activity:175345 		Log:Init 00:00:59
02/16/21 00:01:59 Activity:175345 		Log:Init 00:01:59
02 16 2021 00:00:59 Activity:175345 		Log:Init 00:00:59
02 16 2021 00:01:59 Activity:175345 		Log:Init 00:01:59
02 16 21 00:00:59 Activity:175345 		Log:Init 00:00:59
02 16 21 00:01:59 Activity:175345 		Log:Init 00:01:59
02 16 21 00:02:59 Activity:175345 		Log:Init 00:02:59
02 16 21 00:03:59 Activity:175345 		Log:Init 00:03:59
02/16/21 00:00:59 Activity:175345 		Log:Init 00:00:59
02/16/21 00:01:59 Activity:175345 		Log:Init 00:01:59
